Problem:    part
   355 inicio_slot_aterrizaje_respecto_limite[AV3,P3,S4]
                                   0                          -0 
   356 inicio_slot_aterrizaje_respecto_limite[AV3,P3,S5]
                                   0                          -0 
   357 inicio_slot_aterrizaje_respecto_limite[AV3,P3,S6]
                                   0                          -0 
   358 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S1]
                                   0                          -0 
   359 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S2]
                                   0                          -0 
   360 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S3]
                                   0                          -0 
   361 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S4]
                                   0                          -0 
   362 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S5]
                                   0                          -0 
   363 inicio_slot_aterrizaje_respecto_limite[AV3,P4,S6]
                                   0                          -0 
   364 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S1]
                                   0                          -0 
   365 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S2]
                                   0                          -0 
   366 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S3]
                                   0                          -0 
   367 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S4]
                                   0                          -0 
   368 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S5]
                                 -15                          -0 
   369 inicio_slot_aterrizaje_respecto_limite[AV4,P1,S6]
                                   0                          -0 
   370 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S1]
                                   0                          -0 
   371 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S2]
                                   0                          -0 
   372 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S3]
                                   0                          -0 
   373 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S4]
                                   0                          -0 
   374 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S5]
                                   0                          -0 
   375 inicio_slot_aterrizaje_respecto_limite[AV4,P2,S6]
                                   0                          -0 
   376 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S1]
                                   0                          -0 
   377 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S2]
                                   0                          -0 
   378 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S3]
                                   0                          -0 
   379 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S4]
                                   0                          -0 
   380 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S5]
                                   0                          -0 
   381 inicio_slot_aterrizaje_respecto_limite[AV4,P3,S6]
                                   0                          -0 
   382 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S1]
                                   0                          -0 
   383 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S2]
                                   0                          -0 
   384 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S3]
                                   0                          -0 
   385 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S4]
                                   0                          -0 
   386 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S5]
                                   0                          -0 
   387 inicio_slot_aterrizaje_respecto_limite[AV4,P4,S6]
                                   0                          -0 
   388 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S1]
                                   0                          -0 
   389 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S2]
                                   0                          -0 
   390 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S3]
                                   0                          -0 
   391 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S4]
                                   0                          -0 
   392 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S5]
                                   0                          -0 
   393 inicio_slot_aterrizaje_respecto_limite[AV5,P1,S6]
                                   0                          -0 
   394 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S1]
                                   0                          -0 
   395 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S2]
                                   0                          -0 
   396 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S3]
                                   0                          -0 
   397 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S4]
                                   0                          -0 
   398 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S5]
                                   0                          -0 
   399 inicio_slot_aterrizaje_respecto_limite[AV5,P2,S6]
                                   0                          -0 
   400 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S1]
                                   0                          -0 
   401 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S2]
                                   0                          -0 
   402 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S3]
                                   0                          -0 
   403 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S4]
                                   0                          -0 
   404 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S5]
                                   0                          -0 
   405 inicio_slot_aterrizaje_respecto_limite[AV5,P3,S6]
                                   0                          -0 
   406 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S1]
                                   0                          -0 
   407 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S2]
                                   0                          -0 
   408 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S3]
                                   0                          -0 
   409 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S4]
                                   0                          -0 
   410 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S5]
                                   0                          -0 
   411 inicio_slot_aterrizaje_respecto_limite[AV5,P4,S6]
                                 -15                          -0 
   412 slots_consecutivos_misma_pista[P1,C1]
                                   0                           1 
   413 slots_consecutivos_misma_pista[P1,C2]
                                   0                           1 
   414 slots_consecutivos_misma_pista[P1,C3]
                                   0                           1 
   415 slots_consecutivos_misma_pista[P1,C4]
                                   1                           1 
   416 slots_consecutivos_misma_pista[P1,C5]
                                   1                           1 
   417 slots_consecutivos_misma_pista[P2,C1]
                                   0                           1 
   418 slots_consecutivos_misma_pista[P2,C2]
                                   0                           1 
   419 slots_consecutivos_misma_pista[P2,C3]
                                   1                           1 
   420 slots_consecutivos_misma_pista[P2,C4]
                                   1                           1 
   421 slots_consecutivos_misma_pista[P2,C5]
                                   0                           1 
   422 slots_consecutivos_misma_pista[P3,C1]
                                   1                           1 
   423 slots_consecutivos_misma_pista[P3,C2]
                                   1                           1 
   424 slots_consecutivos_misma_pista[P3,C3]
                                   0                           1 
   425 slots_consecutivos_misma_pista[P3,C4]
                                   0                           1 
   426 slots_consecutivos_misma_pista[P3,C5]
                                   0                           1 
   427 slots_consecutivos_misma_pista[P4,C1]
                                   1                           1 
   428 slots_consecutivos_misma_pista[P4,C2]
                                   0                           1 
   429 slots_consecutivos_misma_pista[P4,C3]
                                   0                           1 
   430 slots_consecutivos_misma_pista[P4,C4]
                                   0                           1 
   431 slots_consecutivos_misma_pista[P4,C5]
                                   1                           1 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[AV1]       *             19             0               
     2 x[AV2]       *             38             0               
     3 x[AV3]       *            160             0               
     4 x[AV4]       *            100             0               
     5 x[AV5]       *            133             0               
     6 y[AV1]       *             58             0               
     7 y[AV2]       *             31             0               
     8 y[AV3]       *             23             0               
     9 y[AV4]       *             20             0               
    10 y[AV5]       *             21             0               
    11 z[AV1]       *             13             0               
    12 z[AV2]       *             51             0               
    13 z[AV3]       *             17             0               
    14 z[AV4]       *             30             0               
    15 z[AV5]       *             36             0               
    16 asignar_avion_slot_pista[AV1,P1,S1]
                    *              0             0             1 
    17 asignar_avion_slot_pista[AV1,P1,S2]
                    *              0             0             1 
    18 asignar_avion_slot_pista[AV1,P1,S3]
                    *              0             0             1 
    19 asignar_avion_slot_pista[AV1,P1,S4]
                    *              0             0             1 
    20 asignar_avion_slot_pista[AV1,P1,S5]
                    *              0             0             1 
    21 asignar_avion_slot_pista[AV1,P1,S6]
                    *              0             0             1 
    22 asignar_avion_slot_pista[AV1,P2,S1]
                    *              0             0             1 
    23 asignar_avion_slot_pista[AV1,P2,S2]
                    *              0             0             1 
    24 asignar_avion_slot_pista[AV1,P2,S3]
                    *              0             0             1 
    25 asignar_avion_slot_pista[AV1,P2,S4]
                    *              0             0             1 
    26 asignar_avion_slot_pista[AV1,P2,S5]
                    *              0             0             1 
    27 asignar_avion_slot_pista[AV1,P2,S6]
                    *              0             0             1 
    28 asignar_avion_slot_pista[AV1,P3,S1]
                    *              0             0             1 
    29 asignar_avion_slot_pista[AV1,P3,S2]
                    *              1             0             1 
    30 asignar_avion_slot_pista[AV1,P3,S3]
                    *              0             0             1 
    31 asignar_avion_slot_pista[AV1,P3,S4]
                    *              0             0             1 
    32 asignar_avion_slot_pista[AV1,P3,S5]
                    *              0             0             1 
    33 asignar_avion_slot_pista[AV1,P3,S6]
                    *              0             0             1 
    34 asignar_avion_slot_pista[AV1,P4,S1]
                    *              0             0             1 
    35 asignar_avion_slot_pista[AV1,P4,S2]
                    *              0             0             1 
    36 asignar_avion_slot_pista[AV1,P4,S3]
                    *              0             0             1 
    37 asignar_avion_slot_pista[AV1,P4,S4]
                    *              0             0             1 
    38 asignar_avion_slot_pista[AV1,P4,S5]
                    *              0             0             1 
    39 asignar_avion_slot_pista[AV1,P4,S6]
                    *              0             0             1 
    40 asignar_avion_slot_pista[AV2,P1,S1]
                    *              0             0             1 
    41 asignar_avion_slot_pista[AV2,P1,S2]
                    *              0             0             1 
    42 asignar_avion_slot_pista[AV2,P1,S3]
                    *              0             0             1 
    43 asignar_avion_slot_pista[AV2,P1,S4]
                    *              0             0             1 
    44 asignar_avion_slot_pista[AV2,P1,S5]
                    *              0             0             1 
    45 asignar_avion_slot_pista[AV2,P1,S6]
                    *              0             0             1 
    46 asignar_avion_slot_pista[AV2,P2,S1]
                    *              0             0             1 
    47 asignar_avion_slot_pista[AV2,P2,S2]
                    *              0             0             1 
    48 asignar_avion_slot_pista[AV2,P2,S3]
                    *              0             0             1 
    49 asignar_avion_slot_pista[AV2,P2,S4]
                    *              0             0             1 
    50 asignar_avion_slot_pista[AV2,P2,S5]
                    *              0             0             1 
    51 asignar_avion_slot_pista[AV2,P2,S6]
                    *              0             0             1 
    52 asignar_avion_slot_pista[AV2,P3,S1]
                    *              0             0             1 
    53 asignar_avion_slot_pista[AV2,P3,S2]
                    *              0             0             1 
    54 asignar_avion_slot_pista[AV2,P3,S3]
                    *              0             0             1 
    55 asignar_avion_slot_pista[AV2,P3,S4]
                    *              0             0             1 
    56 asignar_avion_slot_pista[AV2,P3,S5]
                    *              0             0             1 
    57 asignar_avion_slot_pista[AV2,P3,S6]
                    *              0             0             1 
    58 asignar_avion_slot_pista[AV2,P4,S1]
                    *              1             0             1 
    59 asignar_avion_slot_pista[AV2,P4,S2]
                    *              0             0             1 
    60 asignar_avion_slot_pista[AV2,P4,S3]
                    *              0             0             1 
    61 asignar_avion_slot_pista[AV2,P4,S4]
                    *              0             0             1 
    62 asignar_avion_slot_pista[AV2,P4,S5]
                    *              0             0             1 
    63 asignar_avion_slot_pista[AV2,P4,S6]
                    *              0             0             1 
    64 asignar_avion_slot_pista[AV3,P1,S1]
                    *              0             0             1 
    65 asignar_avion_slot_pista[AV3,P1,S2]
                    *              0             0             1 
    66 asignar_avion_slot_pista[AV3,P1,S3]
                    *              0             0             1 
    67 asignar_avion_slot_pista[AV3,P1,S4]
                    *              0             0             1 
    68 asignar_avion_slot_pista[AV3,P1,S5]
                    *              0             0             1 
    69 asignar_avion_slot_pista[AV3,P1,S6]
                    *              0             0             1 
    70 asignar_avion_slot_pista[AV3,P2,S1]
                    *              0             0             1 
    71 asignar_avion_slot_pista[AV3,P2,S2]
                    *              0             0             1 
    72 asignar_avion_slot_pista[AV3,P2,S3]
                    *              0             0             1 
    73 asignar_avion_slot_pista[AV3,P2,S4]
                    *              1             0             1 
    74 asignar_avion_slot_pista[AV3,P2,S5]
                    *              0             0             1 
    75 asignar_avion_slot_pista[AV3,P2,S6]
                    *              0             0             1 
    76 asignar_avion_slot_pista[AV3,P3,S1]
                    *              0             0             1 
    77 asignar_avion_slot_pista[AV3,P3,S2]
                    *              0             0             1 
    78 asignar_avion_slot_pista[AV3,P3,S3]
                    *              0             0             1 
    79 asignar_avion_slot_pista[AV3,P3,S4]
                    *              0             0             1 
    80 asignar_avion_slot_pista[AV3,P3,S5]
                    *              0             0             1 
    81 asignar_avion_slot_pista[AV3,P3,S6]
                    *              0             0             1 
    82 asignar_avion_slot_pista[AV3,P4,S1]
                    *              0             0             1 
    83 asignar_avion_slot_pista[AV3,P4,S2]
                    *              0             0             1 
    84 asignar_avion_slot_pista[AV3,P4,S3]
                    *              0             0             1 
    85 asignar_avion_slot_pista[AV3,P4,S4]
                    *              0             0             1 
    86 asignar_avion_slot_pista[AV3,P4,S5]
                    *              0             0             1 
    87 asignar_avion_slot_pista[AV3,P4,S6]
                    *              0             0             1 
    88 asignar_avion_slot_pista[AV4,P1,S1]
                    *              0             0             1 
    89 asignar_avion_slot_pista[AV4,P1,S2]
                    *              0             0             1 
    90 asignar_avion_slot_pista[AV4,P1,S3]
                    *              0             0             1 
    91 asignar_avion_slot_pista[AV4,P1,S4]
                    *              0             0             1 
    92 asignar_avion_slot_pista[AV4,P1,S5]
                    *              1             0             1 
    93 asignar_avion_slot_pista[AV4,P1,S6]
                    *              0             0             1 
    94 asignar_avion_slot_pista[AV4,P2,S1]
                    *              0             0             1 
    95 asignar_avion_slot_pista[AV4,P2,S2]
                    *              0             0             1 
    96 asignar_avion_slot_pista[AV4,P2,S3]
                    *              0             0             1 
    97 asignar_avion_slot_pista[AV4,P2,S4]
                    *              0             0             1 
    98 asignar_avion_slot_pista[AV4,P2,S5]
                    *              0             0             1 
    99 asignar_avion_slot_pista[AV4,P2,S6]
                    *              0             0             1 
   100 asignar_avion_slot_pista[AV4,P3,S1]
                    *              0             0             1 
   101 asignar_avion_slot_pista[AV4,P3,S2]
                    *              0             0             1 
   102 asignar_avion_slot_pista[AV4,P3,S3]
                    *              0             0             1 
   103 asignar_avion_slot_pista[AV4,P3,S4]
                    *              0             0             1 
   104 asignar_avion_slot_pista[AV4,P3,S5]
                    *              0             0             1 
   105 asignar_avion_slot_pista[AV4,P3,S6]
                    *              0             0             1 
   106 asignar_avion_slot_pista[AV4,P4,S1]
                    *              0             0             1 
   107 asignar_avion_slot_pista[AV4,P4,S2]
                    *              0             0             1 
   108 asignar_avion_slot_pista[AV4,P4,S3]
                    *              0             0             1 
   109 asignar_avion_slot_pista[AV4,P4,S4]
                    *              0             0             1 
   110 asignar_avion_slot_pista[AV4,P4,S5]
                    *              0             0             1 
   111 asignar_avion_slot_pista[AV4,P4,S6]
                    *              0             0             1 
   112 asignar_avion_slot_pista[AV5,P1,S1]
                    *              0             0             1 
   113 asignar_avion_slot_pista[AV5,P1,S2]
                    *              0             0             1 
   114 asignar_avion_slot_pista[AV5,P1,S3]
                    *              0             0             1 
   115 asignar_avion_slot_pista[AV5,P1,S4]
                    *              0             0             1 
   116 asignar_avion_slot_pista[AV5,P1,S5]
                    *              0             0             1 
   117 asignar_avion_slot_pista[AV5,P1,S6]
                    *              0             0             1 
   118 asignar_avion_slot_pista[AV5,P2,S1]
                    *              0             0             1 
   119 asignar_avion_slot_pista[AV5,P2,S2]
                    *              0             0             1 
   120 asignar_avion_slot_pista[AV5,P2,S3]
                    *              0             0             1 
   121 asignar_avion_slot_pista[AV5,P2,S4]
                    *              0             0             1 
   122 asignar_avion_slot_pista[AV5,P2,S5]
                    *              0             0             1 
   123 asignar_avion_slot_pista[AV5,P2,S6]
                    *              0             0             1 
   124 asignar_avion_slot_pista[AV5,P3,S1]
                    *              0             0             1 
   125 asignar_avion_slot_pista[AV5,P3,S2]
                    *              0             0             1 
   126 asignar_avion_slot_pista[AV5,P3,S3]
                    *              0             0             1 
   127 asignar_avion_slot_pista[AV5,P3,S4]
                    *              0             0             1 
   128 asignar_avion_slot_pista[AV5,P3,S5]
                    *              0             0             1 
   129 asignar_avion_slot_pista[AV5,P3,S6]
                    *              0             0             1 
   130 asignar_avion_slot_pista[AV5,P4,S1]
                    *              0             0             1 
   131 asignar_avion_slot_pista[AV5,P4,S2]
                    *              0             0             1 
   132 asignar_avion_slot_pista[AV5,P4,S3]
                    *              0             0             1 
   133 asignar_avion_slot_pista[AV5,P4,S4]
                    *              0             0             1 
   134 asignar_avion_slot_pista[AV5,P4,S5]
                    *              0             0             1 
   135 asignar_avion_slot_pista[AV5,P4,S6]
                    *              1             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 2.84e-14 on row 22
        max.rel.err = 7.87e-17 on row 22
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
